entry_time,exit_time,direction,entry_price,exit_price,pct_move,duration_h,pnl_usd,cum_pnl
2026-01-12 05:00,2026-01-12 09:00,long,92075.5,90655.5,-1.542,4.0,-1.54,-1.54
2026-01-12 09:00,2026-01-13 15:00,short,90655.5,93416.5,-3.046,30.0,-3.05,-4.59
2026-01-13 15:00,2026-01-19 00:00,long,93416.5,92667.0,-0.802,129.0,-0.8,-5.39
2026-01-19 00:00,2026-01-28 13:00,short,92667.0,90230.0,2.63,229.0,2.63,-2.76
2026-01-28 13:00,2026-01-29 14:00,long,90230.0,86988.0,-3.593,25.0,-3.59,-6.35
2026-01-29 14:00,2026-02-14 08:00,short,86988.0,69714.5,19.857,378.0,19.86,13.51
2026-02-14 08:00,2026-02-15 13:00,long,69714.5,68908.5,-1.156,29.0,-1.16,12.35
2026-02-15 13:00,2026-02-16 12:00,short,68908.5,69745.5,-1.215,23.0,-1.21,11.14
2026-02-16 12:00,2026-02-23 01:00,long,69745.5,64393.0,-7.674,157.0,-7.67,3.4700000000000006
2026-02-23 01:00,2026-02-25 16:00,short,64393.0,68257.0,-6.001,63.0,-6.0,-2.5299999999999994
2026-02-25 16:00,2026-02-27 20:00,long,68257.0,65573.0,-3.932,52.0,-3.93,-6.459999999999999
2026-02-27 20:00,2026-02-28 20:00,short,65573.0,66927.0,-2.065,24.0,-2.06,-8.52
2026-02-28 20:00,2026-03-06 14:00,long,66927.0,68374.0,2.162,138.0,2.16,-6.359999999999999
2026-03-06 14:00,2026-03-09 13:00,short,68374.0,68946.0,-0.837,71.0,-0.84,-7.199999999999999
2026-03-09 13:00,2026-03-18 16:00,long,68946.0,71296.0,3.408,219.0,3.41,-3.789999999999999
2026-03-18 16:00,2026-03-23 12:00,short,71296.0,70717.5,0.811,116.0,0.81,-2.979999999999999
2026-03-23 12:00,2026-03-26 12:00,long,70717.5,69401.5,-1.861,72.0,-1.86,-4.839999999999999
2026-03-26 12:00,2026-03-31 23:00,short,69401.5,68241.5,1.671,131.0,1.67,-3.169999999999999
2026-03-31 23:00,2026-04-02 11:00,long,68241.5,66187.0,-3.011,36.0,-3.01,-6.179999999999999
2026-04-02 11:00,2026-04-05 20:00,short,66187.0,67644.0,-2.201,81.0,-2.2,-8.379999999999999
2026-04-05 20:00,2026-04-12 14:00,long,67644.0,70722.0,4.55,162.0,4.55,-3.829999999999999
2026-04-12 14:00,2026-04-13 14:00,short,70722.0,72355.0,-2.309,24.0,-2.31,-6.139999999999999
2026-04-13 14:00,2026-04-19 22:00,long,72355.0,74005.0,2.28,152.0,2.28,-3.859999999999999
2026-04-19 22:00,2026-04-20 18:00,short,74005.0,76379.0,-3.208,20.0,-3.21,-7.0699999999999985
2026-04-20 18:00,2026-04-27 15:00,long,76379.0,76760.5,0.499,165.0,0.5,-6.5699999999999985
2026-04-27 15:00,2026-04-29 04:00,short,76760.5,77225.0,-0.605,37.0,-0.61,-7.179999999999999
2026-04-29 04:00,2026-04-29 18:00,long,77225.0,75470.5,-2.272,14.0,-2.27,-9.45
2026-04-29 18:00,2026-05-01 09:00,short,75470.5,77239.0,-2.343,39.0,-2.34,-11.79
2026-05-01 09:00,2026-05-08 02:00,long,77239.0,79450.0,2.863,161.0,2.86,-8.93
2026-05-08 02:00,2026-05-10 04:00,short,79450.0,80720.0,-1.598,50.0,-1.6,-10.53
2026-05-10 04:00,2026-05-12 15:00,long,80720.0,80302.0,-0.518,59.0,-0.52,-11.049999999999999
2026-05-12 15:00,2026-05-14 14:00,short,80302.0,80930.0,-0.782,47.0,-0.78,-11.829999999999998
2026-05-14 14:00,2026-05-15 16:00,long,80930.0,79266.0,-2.056,26.0,-2.06,-13.889999999999999
2026-05-15 16:00,2026-05-25 17:00,short,79266.0,77524.0,2.198,241.0,2.2,-11.689999999999998
2026-05-25 17:00,2026-05-27 22:00,long,77524.0,74396.5,-4.034,53.0,-4.03,-15.719999999999999
2026-05-27 22:00,2026-06-13 20:00,short,74396.5,64259.0,13.626,406.0,13.63,-2.089999999999998
2026-06-13 20:00,2026-06-14 17:00,long,64259.0,63712.0,-0.851,21.0,-0.85,-2.939999999999998
2026-06-14 17:00,2026-06-14 21:00,short,63712.0,65291.5,-2.479,4.0,-2.48,-5.419999999999998
2026-06-14 21:00,2026-06-18 06:00,long,65291.5,64056.5,-1.892,81.0,-1.89,-7.309999999999998
2026-06-18 06:00,2026-06-20 23:00,short,64056.5,64277.0,-0.344,65.0,-0.34,-7.649999999999998
2026-06-20 23:00,2026-06-23 10:00,long,64277.0,62297.0,-3.08,59.0,-3.08,-10.729999999999997
2026-06-23 10:00,2026-07-01 21:00,short,62297.0,60805.5,2.394,203.0,2.39,-8.339999999999996
2026-07-01 21:00,2026-07-02 23:00,long,60805.5,61546.5,1.219,26.0,1.22,-7.1199999999999966
